Author,ISBN,Publisher,Title,ROW
"Gibas, Cynthia",9788170000000,ASIAN REPRINT,Developing Bioinformatics Computer Skill,5
Bergeron,9788130000000,Pearson Education,Bioinformatics Computing,5
"Tisdall, James",9788170000000,,MASTERING PERL FOR BIOINFORMATICS,5
Ray V. Herren,9789810000000,,Intro. To Biotechnology An Agri. Revolution,5
Veerarajan,9780070000000,Tata Mcgraw-hill Education,"Probability, Statistics And Random Processes",5
Unknown,9783540000000,Springer,Natural Language Processing and Information Systems,5
Hamdy A. Taha,9788120000000,Prentice Hall,Operations Research an Introduction,5
Niit,9788120000000,Prentice Hall Of India Private Ltd,Working With Digital Information,5
"C.S. Venkataratnam
B.K. Srivastava",9780070000000,McGraw Hill Higher Education,Personnel Management and Human Resources,5
"Tisdall, James",9788170000000,,MASTERING PERL FOR BIOINFORMATICS,5
P. Seshu,9788120000000,Prentice-Hall of India Pvt.Ltd,Textbook of Finite Element Analysis,5
T. K. Attwood,9788180000000,,Introduction To Bioinformatics,5
Unknown,9780070000000,,Accelerated Project Management,5
WIEST & LEVY,9788120000000,PRENTICE HALL,"Management Guide To Pert/Cpm, A, With Gert/Pdm/Dcpm And Other Networks, 2Nd Ed.",5
"Dan Appleman, R. Ramanujam, V. Arvindm",9783540000000,Springer,Foundations of Software Technology and Theoretical Computer Science,5
George Kennedy,9780070000000,McGraw-Hill,ELECTRONIC COMMUNICATION SYSTEMS,5
"SINGH, BRIJENDRA",9788120000000,PHI,"Data Communications and Computer Networks [Oct 30, 2014] Singh, Brijendra",5
Unknown,9783540000000,Springer,Worldwide Computing and Its Applications - WWCA'98,5
Mansfield,9788180000000,Pearson Education India (Common),"Introduction To Computer Networking For Engineering And Technology, 1/E With Cd",5
Unknown,9780390000000,Springer,Mobile and Wireless Communications Networks,5
"Black, Uyless D.",9780130000000,Prentice Hall,Internet Security Protocols,5
Unknown,9783540000000,Springer,Signal Transduction by Reactive Oxygen and Nitrogen Species,5
"Rappaport, Theodore S.",9788120000000,Prentice-Hall of India,Wireless Communications,5
"Lee, William C.Y.",9780070000000,McGraw-Hill,Mobile Cellular Telecommunications,5
Rainer Händel,9788180000000,,"Atm Networks Concepts, Protocols, Applications 3/e",5
Allen I. Holub,9788120307780,Prentice Hall of India,Compiler Design in C,1
Unknown,9783540419105,Springer,"Advances in Knowledge Discovery and Data Mining: 5th Pacific-Asia Conference, PAKDD 2001 Hong Kong, China, April 16-18, 2001. Proceedings (Lecture Notes in Computer Science, 2035)",1
Connolly,9788178088617,,"Database Systems: A Practical Approach To Design, Implementation, And Management, 3/e",1
Alfred V. Aho,9788178080468,Pearson,"Compilers: Principles, Techniques, and Tools",1
TANENBAUM & WOODHULL,9788120329553,Prentice Hall of India,"OPERATING SYSTEMS: DESIGN AND IMPLEMENTATION, 3RD ED.",1
"Rafael C. Gonzalez, Richard E. Woods",9788120327580,Prentice Hall,Digital Image Processing,1
"Harrington, Steven",9780071004725,McGraw-Hill,Computer Graphics : a Programming Approach,1
F.S. Hill,9788129701817,,Computer Graphics,1
"Cooper, Keith D.
Torczon, Linda",9788181473691,Morgan Kaufmann,Engineering: A Compiler,1
Rafael C. Gonzalez Richard E. Woods,9788177581683,Dorling Kindesley Pearson Education,Digital Image Processing,1
Stallings,9788178087924,Pearson Education India (Common),COMPUTER ORGANISATION AND ARCHITECTURE,1
"Mano,",9788120308558,Prentice Hall- Gale,Computer System Architecture.,1
"WILEY INDIA
WILEY INDIA
WILEY INDIA",9788126527410,"S.N. SIVANANDAM, S.N. DEEPA","Principles Of Soft Computing, 2Nd Ed",1
"WILEY INDIA
WILEY INDIA
WILEY INDIA",9788126527410,"S.N. SIVANANDAM, S.N. DEEPA","Principles Of Soft Computing, 2Nd Ed",1
Eugene Charniak,9788178080338,Dorling Kindesley Pearson Education,Introduction To Artificial Intelligence,1
